,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
86,1.0,13.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-28
87,0.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-03-29
88,1.0,10.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-03-30
89,1.0,14.0,2.0,3.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-03-31
90,2.0,23.0,6.0,3.0,0.0,2.0,3.0,4.0,1.0,5.0,4.0,14.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-04-01
91,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-04-02
92,0.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-04-03
93,0.0,16.0,3.0,7.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,7.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2015-04-04
94,3.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-04-05
95,0.0,28.0,2.0,1.0,1.0,6.0,3.0,3.0,1.0,0.0,4.0,9.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-04-06
